session_id,condition,timestamp,total_duration_s,chat_duration_s,trait_insp_1,trait_insp_2,trait_insp_3,trait_insp_4,travel_interest,budget_choice,activity_choice,save_choice,inspired_by_1,inspired_by_2,inspired_to_1,inspired_to_2,manip_check_1,manip_check_2,cooking_diet,cooking_time,save_choice_c,inspired_by_1c,inspired_by_2c,inspired_to_1c,inspired_to_2c,manip_check_1c,manip_check_2c,llm_experience,age,gender,gender_other,education,open_comment,cooking_interest,inspired_by,inspired_to,perceived_pers,trait_insp,save_binary,inspired_by_c,inspired_to_c,perceived_pers_c,save_binary_c,inspired_by_overall,inspired_to_overall,perceived_pers_overall,save_overall
sess_v0idg74tn,generic,2026-03-27 19:13,295.0,214.0,3,4,2,4,4,high,relaxing,no,2,2,3,2,1,1,vegetarian,quick,no,3,3,4,4,3,3,4,,female,,master,,4,2.0,2.5,1.0,3.25,0,3.0,4.0,3.0,0,2.5,3.25,2.0,0.0
sess_8y238ynmj,generic,2026-03-27 19:52,192.0,143.0,2,3,1,1,4,high,relaxing,yes,3,3,2,2,2,1,meat,quick,yes,1,1,2,2,1,4,4,,,,,,3,3.0,2.0,1.5,1.75,1,1.0,2.0,2.5,1,2.0,2.0,2.0,1.0
sess_9t2rfen7m,generic,2026-03-27 20:40,319.0,257.0,4,5,2,3,3,low,adventurous,yes,2,2,2,4,1,4,vegetarian,quick,yes,4,3,4,4,1,2,3,23.0,female,,bachelor,,4,2.0,3.0,2.5,3.5,1,3.5,4.0,1.5,1,2.75,3.5,2.0,1.0
sess_ynim8lvqt,generic,2026-03-27 21:44,160.0,122.0,3,4,3,3,4,high,relaxing,no,4,4,3,3,2,4,meat,quick,no,3,3,3,3,3,2,4,24.0,male,,master,,2,4.0,3.0,3.0,3.25,0,3.0,3.0,2.5,0,3.5,3.0,2.75,0.0
sess_yirc6ptbx,generic,2026-03-27 22:13,268.0,206.0,5,5,4,4,4,low,relaxing,yes,1,2,2,2,1,4,meat,quick,yes,1,1,1,1,1,4,1,26.0,female,,master,I do not use AI at all - if I was planning a trip or cooking a meal I would rather browse articles / recipes on the internet written by people,4,1.5,2.0,2.5,4.5,1,1.0,1.0,2.5,1,1.25,1.5,2.5,1.0
sess_7ezhkurtp,generic,2026-03-27 22:19,182.0,157.0,4,4,4,4,5,low,adventurous,yes,4,3,4,2,2,1,meat,leisurely,yes,2,2,1,2,1,1,2,22.0,male,,master,,4,3.5,3.0,1.5,4.0,1,2.0,1.5,1.0,1,2.75,2.25,1.25,1.0
sess_2v8j9q7mk,generic,2026-03-27 22:46,198.0,131.0,2,3,2,3,4,high,relaxing,no,3,3,2,2,2,2,meat,quick,no,1,1,2,2,2,2,3,21.0,male,,bachelor,,2,3.0,2.0,2.0,2.5,0,1.0,2.0,2.0,0,2.0,2.0,2.0,0.0
sess_64e9cqtfq,generic,2026-03-28 06:38,287.0,221.0,3,4,4,4,2,low,relaxing,no,2,1,2,2,1,1,vegetarian,quick,no,1,1,1,1,1,2,4,23.0,female,,secondary,,4,1.5,2.0,1.0,3.75,0,1.0,1.0,1.5,0,1.25,1.5,1.25,0.0
sess_i0obgzqlf,generic,2026-03-28 07:45,165.0,113.0,4,4,3,4,5,high,adventurous,no,2,2,2,1,2,2,meat,quick,no,1,2,1,2,2,3,3,29.0,male,,master,,2,2.0,1.5,2.0,3.75,0,1.5,1.5,2.5,0,1.75,1.5,2.25,0.0
sess_8xc1vx69h,generic,2026-03-28 11:16,337.0,262.0,4,5,4,4,4,low,adventurous,no,3,4,3,4,2,2,meat,leisurely,no,4,4,4,4,1,2,4,24.0,male,,bachelor,I found the bot's final answer all encompassing and neglectful of the things I said earlier (e.g. low price trip but recommends boutique hotel). I also know I like cooking and I'm currently hungry so maybe that inspired me more than usual ,5,3.5,3.5,2.0,4.25,0,4.0,4.0,1.5,0,3.75,3.75,1.75,0.0
sess_mm0bwxlmz,generic,2026-03-28 11:59,204.0,166.0,2,2,2,2,1,high,relaxing,yes,4,2,2,2,1,1,meat,leisurely,yes,2,2,2,2,1,1,5,24.0,female,,master,,1,3.0,2.0,1.0,2.0,1,2.0,2.0,1.0,1,2.5,2.0,1.0,1.0
sess_kvl2d3m3e,generic,2026-03-28 16:53,208.0,150.0,4,4,5,4,2,low,adventurous,yes,2,1,1,2,1,1,vegetarian,quick,no,1,1,1,1,2,1,5,22.0,male,,bachelor,,1,1.5,1.5,1.0,4.25,1,1.0,1.0,1.5,0,1.25,1.25,1.25,0.5
sess_8j2v9qswk,generic,2026-03-28 17:52,211.0,170.0,4,4,3,4,3,high,adventurous,no,2,2,3,2,1,1,meat,quick,no,2,2,3,3,2,2,3,25.0,female,,secondary,,2,2.0,2.5,1.0,3.75,0,2.0,3.0,2.0,0,2.0,2.75,1.5,0.0
sess_q89rgtrks,generic,2026-03-28 21:41,432.0,278.0,4,4,4,3,4,low,adventurous,no,2,2,4,3,2,4,vegetarian,quick,no,4,4,3,3,3,4,3,22.0,female,,bachelor,,3,2.0,3.5,3.0,3.75,0,4.0,3.0,3.5,0,3.0,3.25,3.25,0.0
sess_34um0brn6,generic,2026-03-29 08:52,194.0,135.0,4,5,4,4,5,low,relaxing,yes,4,4,4,4,4,4,meat,quick,no,4,5,4,4,4,4,4,22.0,female,,secondary,,4,4.0,4.0,4.0,4.25,1,4.5,4.0,4.0,0,4.25,4.0,4.0,0.5
sess_8q2m7v9jk,generic,2026-03-29 12:15,180.0,123.0,2,3,2,3,4,high,relaxing,no,3,3,2,2,2,2,meat,quick,no,1,1,2,2,2,2,3,22.0,female,,bachelor,,2,3.0,2.0,2.0,2.5,0,1.0,2.0,2.0,0,2.0,2.0,2.0,0.0
sess_7q2v9m8xk,generic,2026-03-29 12:25,199.0,160.0,4,4,3,4,3,high,adventurous,no,2,2,3,2,1,1,meat,quick,no,2,2,3,3,2,2,3,24.0,female,,secondary,,2,2.0,2.5,1.0,3.75,0,2.0,3.0,2.0,0,2.0,2.75,1.5,0.0
sess_ftbk1iwlh,generic,2026-03-29 14:38,239.0,210.0,4,4,4,4,5,high,adventurous,no,3,3,4,3,1,1,meat,leisurely,no,1,1,1,1,1,2,4,23.0,female,,bachelor,,2,3.0,3.5,1.0,4.0,0,1.0,1.0,1.5,0,2.0,2.25,1.25,0.0
sess_u48vx3uas,generic,2026-03-29 16:59,181.0,105.0,1,1,2,1,4,high,adventurous,no,2,2,2,1,2,2,vegetarian,leisurely,no,2,2,2,1,1,2,3,24.0,female,,master,,4,2.0,1.5,2.0,1.25,0,2.0,1.5,1.5,0,2.0,1.5,1.75,0.0
sess_whf41l8a0,generic,2026-03-29 17:01,158.0,116.0,4,4,4,4,4,low,adventurous,no,2,1,2,2,2,1,meat,leisurely,no,2,2,2,2,2,1,3,26.0,male,,master,,3,1.5,2.0,1.5,4.0,0,2.0,2.0,1.5,0,1.75,2.0,1.5,0.0
sess_oxo35zn7x,generic,2026-03-29 17:37,145.0,102.0,4,4,5,3,5,low,relaxing,no,2,2,4,2,2,2,vegetarian,quick,no,1,2,2,2,2,3,2,25.0,female,,,,1,2.0,3.0,2.0,4.0,0,1.5,2.0,2.5,0,1.75,2.5,2.25,0.0
sess_2j8v7q9mk,generic,2026-03-29 21:01,186.0,126.0,3,4,2,4,4,high,relaxing,no,2,2,3,2,1,1,meat,quick,yes,3,3,4,4,3,3,4,27.0,female,,master,,3,2.0,2.5,1.0,3.25,0,3.0,4.0,3.0,1,2.5,3.25,2.0,0.5
sess_4n8y2jvqm,generic,2026-03-29 22:02,213.0,149.0,3,4,2,4,4,high,relaxing,no,2,2,3,2,1,1,meat,quick,yes,3,3,4,4,3,3,4,27.0,male,,master,,4,2.0,2.5,1.0,3.25,0,3.0,4.0,3.0,1,2.5,3.25,2.0,0.5
sess_8v2j7q0zk,generic,2026-03-29 23:49,170.0,117.0,3,4,2,4,4,high,relaxing,yes,2,2,3,2,1,1,meat,quick,no,3,3,4,4,3,3,4,26.0,female,,master,,3,2.0,2.5,1.0,3.25,1,3.0,4.0,3.0,0,2.5,3.25,2.0,0.5
sess_a38oayezl,personalised,2026-03-27 19:03,788.0,306.0,3,3,2,2,5,low,adventurous,no,3,3,3,3,1,2,meat,leisurely,no,1,1,1,1,1,1,2,60.0,female,,phd,,4,3.0,3.0,1.5,2.5,0,1.0,1.0,1.0,0,2.0,2.0,1.25,0.0
sess_x90sy22tg,personalised,2026-03-27 19:37,199.0,137.0,2,2,1,1,3,high,adventurous,no,1,1,1,1,1,4,vegetarian,leisurely,no,1,1,1,1,1,4,4,22.0,female,,master,,2,1.0,1.0,2.5,1.5,0,1.0,1.0,2.5,0,1.0,1.0,2.5,0.0
sess_vrxw2zdq8,personalised,2026-03-27 19:47,256.0,205.0,4,4,4,4,2,low,adventurous,no,4,3,4,4,2,4,meat,quick,no,4,4,4,4,4,4,5,21.0,male,,bachelor,,1,3.5,4.0,3.0,4.0,0,4.0,4.0,4.0,0,3.75,4.0,3.5,0.0
sess_c80vo6qtu,personalised,2026-03-27 20:01,416.0,385.0,4,4,4,4,2,low,adventurous,yes,3,3,3,2,3,4,vegetarian,quick,yes,2,2,3,2,4,4,3,59.0,male,,phd,,4,3.0,2.5,3.5,4.0,1,2.0,2.5,4.0,1,2.5,2.5,3.75,1.0
sess_9q7m2v8jk,personalised,2026-03-27 21:03,427.0,380.0,4,4,4,4,2,low,adventurous,no,3,3,3,2,3,4,vegetarian,quick,yes,2,2,3,2,4,4,3,30.0,male,,bachelor,,4,3.0,2.5,3.5,4.0,0,2.0,2.5,4.0,1,2.5,2.5,3.75,0.5
sess_4xzl07k0i,personalised,2026-03-28 01:34,230.0,150.0,2,4,4,3,2,low,adventurous,no,2,2,4,3,1,4,meat,leisurely,no,1,4,2,3,1,4,1,26.0,male,,master,,4,2.0,3.5,2.5,3.25,0,2.5,2.5,2.5,0,2.25,3.0,2.5,0.0
sess_hhjghjswe,personalised,2026-03-28 11:33,400.0,351.0,4,4,4,4,2,low,adventurous,yes,4,4,4,3,4,5,vegetarian,quick,yes,2,2,4,4,4,5,5,35.0,female,,phd,,4,4.0,3.5,4.5,4.0,1,2.0,4.0,4.5,1,3.0,3.75,4.5,1.0
sess_0y3ahjqhje,personalised,2026-03-28 12:26,350.0,300.0,3,3,3,3,5,low,relaxing,yes,4,4,4,4,4,5,vegetarian,quick,no,3,3,4,4,4,5,4,31.0,male,,master,,3,4.0,4.0,4.5,3.0,1,3.0,4.0,4.5,0,3.5,4.0,4.5,0.5
sess_j8bsalyv9,personalised,2026-03-28 14:35,285.0,164.0,4,4,4,4,5,low,relaxing,no,4,4,4,4,3,4,vegetarian,quick,no,3,3,3,3,4,4,4,23.0,female,,bachelor,,2,4.0,4.0,3.5,4.0,0,3.0,3.0,4.0,0,3.5,3.5,3.75,0.0
sess_0y3pv4xwe,personalised,2026-03-29 08:23,304.0,216.0,5,5,5,5,4,low,adventurous,yes,4,4,4,4,2,3,vegetarian,quick,yes,3,3,2,2,2,3,4,22.0,female,,bachelor,,5,4.0,4.0,2.5,5.0,1,3.0,2.0,2.5,1,3.5,3.0,2.5,1.0
sess_0y125s4fg,personalised,2026-03-29 09:30,320.0,219.0,4,4,3,4,3,low,adventurous,yes,3,3,3,2,3,4,vegetarian,quick,yes,2,2,3,2,4,4,3,28.0,female,,bachelor,,3,3.0,2.5,3.5,3.75,1,2.0,2.5,4.0,1,2.5,2.5,3.75,1.0
sess_2k9v8j7qm,personalised,2026-03-29 12:30,417.0,372.0,4,4,4,4,2,low,adventurous,no,3,3,3,2,3,4,vegetarian,quick,yes,2,2,3,2,4,4,3,29.0,male,,bachelor,,4,3.0,2.5,3.5,4.0,0,2.0,2.5,4.0,1,2.5,2.5,3.75,0.5
sess_9m7q2v8sd,personalised,2026-03-29 12:40,390.0,340.0,4,4,4,4,2,low,adventurous,yes,4,4,4,3,4,5,vegetarian,quick,yes,2,2,4,4,4,5,5,33.0,male,,phd,,4,4.0,3.5,4.5,4.0,1,2.0,4.0,4.5,1,3.0,3.75,4.5,1.0
sess_7m9q2v8jk,personalised,2026-03-29 12:49,360.0,312.0,3,3,3,3,5,low,relaxing,yes,4,4,4,4,4,5,meat,quick,no,3,3,4,4,4,5,4,32.0,male,,master,,3,4.0,4.0,4.5,3.0,1,3.0,4.0,4.5,0,3.5,4.0,4.5,0.5
sess_1v6j2q8mk,personalised,2026-03-29 13:14,400.0,350.0,4,4,4,4,2,low,adventurous,yes,4,4,4,3,4,5,vegetarian,quick,yes,2,2,4,4,4,5,5,34.0,male,,phd,,4,4.0,3.5,4.5,4.0,1,2.0,4.0,4.5,1,3.0,3.75,4.5,1.0
sess_65pasgv2p,personalised,2026-03-29 14:42,228.0,199.0,3,3,3,3,4,low,relaxing,yes,4,4,4,4,4,5,vegetarian,quick,no,2,3,4,4,4,5,5,23.0,female,,bachelor,"I felt like the response was personalized towards my prefernces. however, I did not want to save the cooking response because it was just not special/nothing I could hav enot come up with myself (pasta + tomatos haha)",4,4.0,4.0,4.5,3.0,1,2.5,4.0,4.5,0,3.25,4.0,4.5,0.5
